year,lowbrth,infmort,afdcprt,popul,pcinc,physic,afdcprc,d90,lpcinc,cafdcprc,clpcinc,lphysic,clphysic,clowbrth,cinfmort,afdcpay,afdcinc,lafdcpay,clafdcpy,cafdcinc,stateabb,state,beds,bedspc,lbedspc,clbedspc,povrate,cpovrate,afdcpsq,cafdcpsq,physicpc,lphypc,clphypc,lpopul,clpopul
1990,7.1,9.4,218,5117,17347,196,4.2603087,1,9.761175,0.34411526,0.1703453,5.278115,0.031090736,0.099999905,-0.8000002,274,1.5795238,5.613128,0.037178993,-0.2249875,MO,missouri,29.6,0.0057846396,-5.1525493,-0.04169655,13.4,-0.6000004,18.15023,2.8136587,0.038303692,-3.262209,0.029134512,8.540323,0.001955986
1987,5.5,10.0,29,909,12304,150,3.190319,0,9.41768,,,5.0106354,,,,356,2.893368,5.874931,,,MT,montana,4.9,0.0053905393,-5.2231097,,18.0,,10.178136,,0.1650165,-1.8017098,,6.812345,
1990,6.2,9.0,29,799,14663,158,3.6295369,1,9.593082,0.4392178,0.17540264,5.062595,0.051959515,0.6999998,-1.0,344,2.346041,5.8406415,-0.03428936,-0.54732704,MT,montana,4.9,0.006132666,-5.0941257,0.12898397,16.3,-1.7000008,13.173538,2.9954023,0.19774719,-1.6207659,0.18094385,6.683361,-0.12898397
1987,5.5,8.6,43,1594,14100,168,2.697616,0,9.55393,,,5.123964,,,,316,2.2411346,5.755742,,,NE,nebraska,11.1,0.006963614,-4.9670568,,11.9,,7.2771325,,0.105395235,-2.250038,,7.374002,
1990,5.3,8.3,44,1578,17276,172,2.7883396,1,9.757073,0.090723515,0.20314312,5.1474943,0.023530483,-0.19999981,-0.3000002,336,1.9448947,5.817111,0.061368942,-0.29623997,NE,nebraska,10.4,0.0065906206,-5.0221076,-0.05505085,10.3,-1.5999994,7.774838,0.49770546,0.10899873,-2.216419,0.033618927,7.3639135,-0.010088444
1987,6.9,9.6,17,1006,16359,158,1.6898608,0,9.702534,,,5.062595,,,,247,1.5098722,5.5093884,,,NV,nevada,4.1,0.0040755467,-5.5027504,,10.4,,2.8556297,,0.15705766,-1.8511423,,6.9137373,
1990,7.2,8.4,25,1202,19680,159,2.079867,1,9.887358,0.39000607,0.18482399,5.0689044,0.0063095093,0.2999997,-1.2000008,278,1.4126016,5.627621,0.11823273,-0.09727061,NV,nevada,4.2,0.0034941763,-5.6566577,-0.1539073,9.8,-0.5999994,4.325846,1.4702165,0.13227953,-2.0228379,-0.17169559,7.091742,0.17800474
1987,4.9,7.8,11,1056,18083,186,1.0416666,0,9.802728,,,5.2257466,,,,366,2.0240004,5.902633,,,NH,newhampshire,4.8,0.004545455,-5.3936276,,4.8,,1.0850694,,0.17613636,-1.7364968,,6.9622436,
1990,4.9,7.1,21,1109,21051,200,1.8935978,1,9.954703,0.8519312,0.15197563,5.2983174,0.0725708,0.0,-0.7000003,431,2.0474086,6.066108,0.16347504,0.023408175,NH,newhampshire,4.9,0.004418395,-5.421979,-0.028351307,6.3,1.5,3.5857127,2.5006433,0.18034264,-1.7128967,0.023600101,7.011214,0.048970222
1987,7.0,9.4,320,7674,20277,234,4.1699243,0,9.917242,,,5.4553213,,,,350,1.7260936,5.857933,,,NJ,newjers,39.4,0.00513422,-5.271827,,8.3,,17.388268,,0.030492572,-3.490272,,8.945593,
1990,7.0,9.0,323,7730,24977,246,4.1785254,1,10.1257105,0.008601189,0.20846844,5.5053315,0.050010204,0.0,-0.39999962,352,1.4092965,5.8636312,0.005698204,-0.31679714,NJ,newjers,38.2,0.0049417852,-5.3100286,-0.038201332,9.2,0.8999996,17.460075,0.07180786,0.031824064,-3.4475327,0.04273939,8.952864,0.007270813
1987,7.1,8.1,60,1496,11889,173,4.010695,0,9.3833685,,,5.1532917,,,,235,1.9766171,5.4595857,,,NM,newmexico,6.7,0.0044786097,-5.4084425,,19.4,,16.085674,,0.11564171,-2.1572585,,7.31055,
1990,7.4,9.0,67,1515,14124,183,4.4224424,1,9.555631,0.41174746,0.17226219,5.209486,0.056194305,0.3000002,0.8999996,273,1.9328802,5.609472,0.14988613,-0.043736935,NM,newmexico,6.6,0.0043564355,-5.436101,-0.027658463,20.9,1.5,19.557997,3.4723225,0.120792076,-2.1136847,0.043573856,7.3231707,0.012620449
1987,7.6,10.7,1019,17835,17943,307,5.713485,0,9.794955,,,5.7268476,,,,495,2.758736,6.204558,,,NY,newyork,110.0,0.006167648,-5.0884376,,14.3,,32.64391,,0.017213345,-4.0620704,,9.7889185,
1990,7.6,9.6,1031,17990,22068,315,5.730962,1,10.0018835,0.017477036,0.20692825,5.7525725,0.025724888,0.0,-1.0999994,556,2.5194852,6.3207684,0.11621046,-0.23925066,NY,newyork,104.3,0.0057976656,-5.1503,-0.06186247,14.3,0.0,32.84392,0.2000122,0.017509727,-4.0449986,0.017071724,9.797571,0.008652687
1987,7.9,11.9,171,6409,13353,179,2.668123,0,9.499496,,,5.187386,,,,239,1.78986,5.4764633,,,NC,northcaro,29.7,0.0046341084,-5.3743114,,13.8,,7.1188803,,0.027929474,-3.5780728,,8.765458,
1990,8.0,10.6,255,6629,16383,190,3.846734,1,9.7039995,1.178611,0.20450306,5.247024,0.059638023,0.099999905,-1.2999992,237,1.4466215,5.46806,-0.008403301,-0.34323847,NC,northcaro,30.1,0.004540655,-5.394684,-0.02037239,13.0,-0.8000002,14.797363,7.678483,0.02866194,-3.552185,0.025887728,8.79921,0.033751488
1987,4.9,8.7,15,671,12825,167,2.2354693,0,9.459151,,,5.117994,,,,345,2.6900585,5.8435445,,,ND,northdak,5.9,0.008792846,-4.7338166,,11.4,,4.997323,,0.24888226,-1.3907753,,6.508769,
1990,5.5,8.0,16,639,15158,170,2.5039124,1,9.626284,0.2684431,0.16713238,5.1357985,0.017804623,0.5999999,-0.6999998,359,2.3683863,5.8833222,0.039777756,-0.3216722,ND,northdak,5.2,0.008137715,-4.811246,-0.077429295,13.7,2.3000002,6.2695775,1.2722545,0.26604068,-1.3241061,0.066669226,6.4599047,-0.048864365
1987,6.6,9.3,648,10816,14575,191,5.991124,0,9.587063,,,5.2522736,,,,299,2.051458,5.7004437,,,OH,ohio,56.5,0.0052237427,-5.254541,,12.7,,35.89357,,0.017659023,-4.0365086,,9.288782,
1990,7.1,9.8,657,10847,17422,196,6.0569744,1,9.765489,0.06585026,0.17842579,5.278115,0.025841236,0.5,0.5,328,1.8826771,5.7930136,0.09256983,-0.1687808,OH,ohio,52.1,0.0048031714,-5.338479,-0.08393812,11.5,-1.1999998,36.68694,0.7933693,0.018069513,-4.0135293,0.02297926,9.291644,0.0028619766
1987,6.7,9.6,101,3259,12607,145,3.0991101,0,9.442007,,,4.9767337,,,,277,2.197192,5.6240177,,,OK,oklahoma,16.2,0.00497085,-5.3041644,,17.0,,9.604484,,0.044492174,-3.112442,,8.089175,
1990,6.6,9.2,129,3146,15154,147,4.100445,1,9.6260195,1.0013347,0.18401241,4.9904327,0.013699055,-0.099999905,-0.40000057,279,1.8410981,5.6312118,0.007194042,-0.35609388,OK,oklahoma,14.9,0.004736173,-5.3525257,-0.0483613,15.6,-1.3999996,16.813648,7.2091646,0.046726,-3.0634546,0.04898739,8.053887,-0.035287857
1987,5.4,10.4,81,2723,13906,196,2.9746604,0,9.540075,,,5.278115,,,,334,2.401841,5.811141,,,OR,oregon,10.3,0.0037825927,-5.5773454,,14.2,,8.848604,,0.07197943,-2.6313748,,7.9094896,
1990,5.0,8.3,99,2842,17038,205,3.4834623,1,9.743201,0.50880194,0.20312595,5.32301,0.044895172,-0.4000001,-2.0999994,374,2.1950934,5.924256,0.113114834,-0.20674753,OR,oregon,10.4,0.0036593946,-5.6104574,-0.03311205,9.2,-5.0,12.13451,3.2859058,0.072132304,-2.6292534,0.0021214485,7.9522634,0.042773724
1987,6.9,10.4,539,11942,15198,227,4.5134816,0,9.628919,,,5.42495,,,,335,2.2042375,5.8141303,,,PA,pennsyl,70.7,0.005920281,-5.129371,,10.6,,20.371517,,0.019008541,-3.9628668,,9.387816,
1990,7.1,9.6,549,11882,18725,235,4.6204343,1,9.837615,0.10695267,0.20869637,5.4595857,0.034635544,0.19999981,-0.79999924,382,2.0400534,5.9454207,0.13129044,-0.1641841,PA,pennsyl,68.5,0.0057650227,-5.1559463,-0.026575089,11.0,0.39999962,21.348413,0.9768963,0.019777816,-3.9231944,0.039672375,9.38278,-0.005036354
1987,6.0,8.4,42,986,15683,244,4.259635,0,9.660333,,,5.497168,,,,433,2.7609513,6.070738,,,RI,rhode,5.1,0.005172414,-5.2644157,,8.1,,18.14449,,0.24746451,-1.3964881,,6.8936563,
1990,6.2,8.1,52,1003,18771,254,5.184447,1,9.840069,0.92481184,0.17973614,5.5373344,0.040166378,0.19999981,-0.29999924,499,2.658356,6.212606,0.14186811,-0.10259533,RI,rhode,4.4,0.0043868395,-5.4291463,-0.16473055,7.5,-0.6000004,26.878489,8.733999,0.2532403,-1.3734165,0.023071527,6.910751,0.017094612
1987,8.6,12.7,122,3426,12078,156,3.5610042,0,9.399141,,,5.049856,,,,187,1.5482696,5.2311087,,,SC,southcaro,15.1,0.0044074724,-5.4244537,,15.6,,12.680751,,0.04553415,-3.0892928,,8.139149,
1990,8.7,11.7,118,3487,15043,161,3.3839977,1,9.618668,-0.17700648,0.21952629,5.081404,0.031548023,0.09999943,-1.0,203,1.3494649,5.313206,0.08209753,-0.19880474,SC,southcaro,14.6,0.0041869804,-5.4757752,-0.051321507,16.2,0.6000004,11.45144,-1.229311,0.046171494,-3.0753927,0.013900042,8.156797,0.017648697
1987,5.2,9.9,18,709,12414,138,2.5387871,0,9.42658,,,4.9272537,,,,268,2.1588528,5.590987,,,SD,southdak,5.7,0.008039492,-4.8233895,,15.2,,6.4454403,,0.19464034,-1.6366018,,6.5638556,
1990,5.1,10.1,19,696,15566,140,2.729885,1,9.652844,0.19109797,0.226264,4.9416423,0.014388561,-0.099999905,0.20000076,272,1.7473981,5.605802,0.014814854,-0.41145468,SD,southdak,5.4,0.0077586207,-4.8589506,-0.035561085,13.3,-1.8999996,7.452273,1.0068326,0.20114942,-1.6037073,0.032894492,6.5453496,-0.01850605
1987,8.1,11.7,181,4855,12977,187,3.7281153,0,9.470934,,,5.2311087,,,,149,1.1481853,5.0039463,,,TN,tennessee,30.2,0.0062203915,-5.079922,,16.9,,13.898844,,0.038516995,-3.2566557,,8.487764,
1990,8.2,10.3,230,4877,15869,196,4.716014,1,9.672123,0.9878986,0.20118904,5.278115,0.04700613,0.09999943,-1.3999996,186,1.1720965,5.2257466,0.22180033,0.023911238,TN,tennessee,29.6,0.006069305,-5.1045113,-0.024589062,16.9,0.0,22.240788,8.341944,0.04018864,-3.214171,0.04248476,8.492286,0.00452137
1987,6.9,9.1,500,16781,13840,169,2.9795601,0,9.535318,,,5.1298985,,,,169,1.2210983,5.1298985,,,TX,texas,80.9,0.0048209284,-5.334789,,17.6,,8.877779,,0.0100709135,-4.598104,,9.728003,
1990,6.9,8.1,673,16987,16600,175,3.9618533,1,9.717158,0.9822931,0.18183994,5.164786,0.034887314,0.0,-1.0,165,0.9939759,5.1059456,-0.023952961,-0.22712243,TX,texas,78.9,0.0046447283,-5.3720226,-0.03723383,15.9,-1.7000008,15.696281,6.8185024,0.010301996,-4.5754175,0.022686481,9.740204,0.012201309
1987,5.7,8.8,44,1680,11530,177,2.6190476,0,9.352708,,,5.17615,,,,344,2.9835212,5.8406415,,,UT,utah,5.9,0.0035119047,-5.6515965,,10.2,,6.859411,,0.10535714,-2.2503994,,7.426549,
1990,5.7,7.5,47,1723,14036,185,2.7278004,1,9.54938,0.10875273,0.19667244,5.220356,0.044206142,0.0,-1.3000002,347,2.4722142,5.8493247,0.008683205,-0.511307,UT,utah,5.6,0.0032501451,-5.7290554,-0.07745886,8.2,-2.0,7.440895,0.5814843,0.10737087,-2.2314663,0.018933058,7.4518223,0.025273323
1987,5.3,8.5,20,547,14267,244,3.6563072,0,9.565704,,,5.497168,,,,454,3.1821687,6.1180973,,,VT,vermont,2.5,0.004570384,-5.388158,,9.3,,13.368583,,0.44606948,-0.80728054,,6.3044486,
1990,5.3,6.4,25,563,17630,253,4.4404974,1,9.777357,0.7841902,0.21165276,5.5333896,0.036221504,0.0,-2.1,527,2.989223,6.2672005,0.14910316,-0.19294572,VT,vermont,2.3,0.0040852576,-5.5003705,-0.11221266,10.9,1.5999994,19.718018,6.349435,0.44937834,-0.7998901,0.0073904395,6.3332796,0.028831005
1987,6.9,10.2,145,5914,16539,204,2.4518092,0,9.713476,,,5.31812,,,,255,1.5418103,5.5412636,,,VA,virginia,30.2,0.005106527,-5.277236,,9.9,,6.0113683,,0.03449442,-3.3669577,,8.685078,
1990,7.2,10.2,158,6187,19679,213,2.5537417,1,9.887307,0.101932526,0.17383099,5.3612924,0.04317236,0.2999997,0.0,265,1.3466132,5.57973,0.038466454,-0.1951971,VA,virginia,29.2,0.0047195735,-5.3560367,-0.07880068,11.1,1.2000008,6.5215964,0.51022816,0.034427024,-3.3689134,-0.0019557476,8.730206,0.04512787
1987,5.3,9.7,208,4542,15634,206,4.57948,0,9.657204,,,5.327876,,,,441,2.8207753,6.089045,,,WA,washington,16.5,0.0036327608,-5.6177626,,10.0,,20.971638,,0.04535447,-3.0932465,,8.421123,
1990,5.3,7.8,237,4867,18738,213,4.8695292,1,9.838309,0.29004908,0.18110561,5.3612924,0.03341627,0.0,-1.8999996,452,2.4122105,6.1136823,0.024637222,-0.4085648,WA,washington,15.8,0.003246353,-5.730223,-0.11246061,8.9,-1.1000004,23.712315,2.7406769,0.043764126,-3.1289408,-0.03569436,8.490233,0.06911087
1987,7.1,9.8,111,1898,11013,164,5.8482614,0,9.306831,,,5.0998664,,,,246,2.2337239,5.5053315,,,WV,westvirg,11.3,0.0059536356,-5.123753,,21.6,,34.20216,,0.086406745,-2.4486895,,7.548556,
1990,7.1,9.9,109,1793,13722,166,6.079197,1,9.526755,0.23093557,0.21992397,5.1119876,0.012121201,0.0,0.09999943,249,1.8146043,5.5174527,0.012121201,-0.4191196,WV,westvirg,10.2,0.0056887898,-5.1692576,-0.04550457,18.1,-3.5,36.956635,2.7544746,0.09258226,-2.3796577,0.069031715,7.4916453,-0.056910515
1987,5.4,8.6,271,4807,14674,181,5.637612,0,9.593833,,,5.198497,,,,487,3.3187952,6.188264,,,WI,wisconsin,25.4,0.0052839606,-5.243079,,9.0,,31.782667,,0.037653424,-3.2793314,,8.477828,
1990,5.9,8.2,236,4892,17455,189,4.824203,1,9.767382,-0.81340885,0.1735487,5.241747,0.043250084,0.5,-0.40000057,464,2.6582642,6.1398845,-0.04837942,-0.66053104,WI,wisconsin,23.7,0.0048446446,-5.329881,-0.086802006,9.3,0.3000002,23.272934,-8.509733,0.038634505,-3.2536094,0.025722027,8.495357,0.017528534
1987,7.7,9.2,13,490,12836,134,2.6530612,0,9.460009,,,4.89784,,,,308,2.3995013,5.7300997,,,WY,wyoming,3.1,0.0063265306,-5.063003,,10.8,,7.0387335,,0.2734694,-1.2965655,,6.1944056,
1990,7.4,8.6,16,454,16467,139,3.524229,1,9.709114,0.8711679,0.24910545,4.934474,0.03663397,-0.2999997,-0.5999994,313,1.9007713,5.7462034,0.016103745,-0.49873006,WY,wyoming,2.9,0.0063876654,-5.053386,0.009616852,11.0,0.19999981,12.420191,5.3814573,0.3061674,-1.1836233,0.11294222,6.1180973,-0.07630825
